Code_Country,Ref_Y,Year,Country,Country1,TyH_Vote,TyH_Seats,Dalton_Vote,Dalton_Seats,Knutsen_Vote,Knutsen_Seats,VDEM_pol,Dalton_OP,election,party_replacement_v,Volat_A_Cohen_2pct,Volat_A_Cohen_5pct,Volat_A_Cohen_7pct,stable_party_v,Volat_B_Cohen_2pct,Volat_B_Cohen_5pct,Volat_B_Cohen_7pct,volatility,Evolat_Cohen_2pct,Evolat_Cohen_5pct,Evolat_Cohen_7pct,Volat_A_Schmidt,Volat_B_Schmidt,Evolat_Schmidt,Enph_Schmidt,gdppc,gdp_growth,inflation,unemployment,gini,PR_system,IDEA_ES_Legislature,IDEA_ES_President,Lib_Dem_Index,Elect_Dem_Index,Legislative size,Dist_Mag_mean
2,0,2019,Bolivia,BOL,3.805,3.818,4.335,4.342,1.814,1.826,1.561,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2,1.43,38.63,NA,NA,0.797,1.84,3.82,41.6,Mixed,MMP,TRS,0.318,0.561,130,1.69
3,0,1992,Brazil,BRA,NA,NA,NA,NA,NA,NA,1.421,NA,0,0.109,0.085,0.085,0.085,0.244,0.23,0.213,0.208,0.354,0.315,0.299,0.293,NA,NA,NA,9.668,7812.8,-2.152,951.96,6.42,53.2,PR,List PR, TRS,0.729,0.849,513,19
3,0,1993,Brazil,BRA,NA,NA,NA,NA,NA,NA,0.27,NA,0,0.109,0.085,0.085,0.085,0.244,0.23,0.213,0.208,0.354,0.315,0.299,0.293,NA,NA,NA,8.492,8166.2,2.937,1927.38,6.03,60.1,PR,List PR, TRS,0.731,0.851,513,19
3,1,1994,Brazil,BRA,NA,NA,NA,NA,NA,NA,0.27,NA,1,0.159,0.141,0.126,0.091,0.118,0.068,0.063,0.06,0.276,0.209,0.188,0.152,23.64,36.21,59.85,8.489,8615.7,3.628,2075.89,NA,NA,PR,List PR, TRS,0.736,0.859,513,19
3,0,1995,Brazil,BRA,NA,NA,NA,NA,NA,NA,0.27,5.511,0,0.159,0.141,0.126,0.091,0.118,0.068,0.063,0.06,0.276,0.209,0.188,0.152,23.64,36.21,59.85,7.286,8951.7,2.749,66.01,6.42,59.6,PR,List PR, TRS,0.741,0.863,513,19
3,0,1996,Brazil,BRA,NA,NA,NA,NA,NA,NA,0.27,5.73,0,0.159,0.141,0.126,0.091,0.118,0.068,0.063,0.06,0.276,0.209,0.188,0.152,23.64,36.21,59.85,6.908,9124.5,0.596,15.76,7.25,59.9,PR,List PR, TRS,0.741,0.866,513,19
3,0,1997,Brazil,BRA,NA,NA,NA,NA,NA,NA,0.27,4.408,0,0.159,0.141,0.126,0.091,0.118,0.068,0.063,0.06,0.276,0.209,0.188,0.152,23.64,36.21,59.85,6.653,9410,1.791,6.93,8.16,59.8,PR,List PR, TRS,0.741,0.866,513,19
3,1,1998,Brazil,BRA,NA,NA,NA,NA,NA,NA,0.27,5.285,1,0.157,0.138,0.138,0.103,0.097,0.089,0.078,0.067,0.254,0.227,0.215,0.171,12.01,5.56,17.57,8.156,9419.1,-1.184,3.2,9.42,59.6,PR,List PR, TRS,0.741,0.866,513,19
3,0,1999,Brazil,BRA,NA,NA,NA,NA,NA,NA,0.27,5.285,0,0.157,0.138,0.138,0.103,0.097,0.089,0.078,0.067,0.254,0.227,0.215,0.171,12.01,5.56,17.57,7.133,9441.8,-1.009,4.86,10.21,59,PR,List PR, TRS,0.741,0.866,513,19
3,0,2000,Brazil,BRA,NA,NA,NA,NA,NA,NA,0.27,5.183,0,0.157,0.138,0.138,0.103,0.097,0.089,0.078,0.067,0.254,0.227,0.215,0.171,12.01,5.56,17.57,7.133,9834.4,2.912,7.04,NA,NA,PR,List PR, TRS,0.749,0.87,513,19
